DATE,Civilian Labor Force Level,Employment Level,Unemployment Level,Employment Level - Men,Employment Level - Women,Not in Labor Force
1/1/18,160992,154495,6496,82257,72238,96743
2/1/18,161764,155174,6590,82692,72483,95439
3/1/18,161765,155266,6499,82679,72588,95549
4/1/18,161914,155363,6551,82696,72667,95992
5/1/18,161897,155688,6209,82785,72903,95689
6/1/18,162200,155768,6432,82612,73156,94365
7/1/18,162316,156186,6130,82690,73496,94109
8/1/18,161735,155567,6167,82549,73018,96157
9/1/18,161985,155948,6037,82649,73299,96332
10/1/18,162471,156306,6164,82804,73502,95792
11/1/18,162713,156598,6115,83024,73574,96043
12/1/18,163124,156745,6379,82969,73776,96378
1/1/19,163067,156625,6442,82998,73628,96135
2/1/19,163032,156904,6128,83147,73757,95599
3/1/19,163010,156809,6201,83120,73689,95714
4/1/19,162737,156741,5995,83047,73695,96596
5/1/19,162848,156883,5965,83248,73635,96207
6/1/19,163046,157131,5914,83406,73726,94917
7/1/19,163586,157617,5969,83672,73945,94284
8/1/19,163861,157861,6000,83571,74290,95413
9/1/19,163958,158230,5728,83704,74526,95694
10/1/19,164278,158356,5922,83667,74688,95269
11/1/19,164447,158540,5907,83958,74582,95634
12/1/19,164579,158735,5844,83995,74740,96174
1/1/20,164455,158659,5796,83897,74762,96004
2/1/20,164448,158732,5717,83867,74865,95393
3/1/20,162721,155536,7185,82302,73234,97221
4/1/20,156478,133370,23109,71892,61478,104066
5/1/20,158200,137224,20975,73694,63530,102072
6/1/20,159797,142100,17697,75656,66444,99321
7/1/20,160085,143777,16308,76256,67520,98998
8/1/20,160818,147276,13542,78213,69063,99592
9/1/20,160078,147543,12535,78663,68880,100670
10/1/20,160718,149669,11049,79537,70131,99872
11/1/20,160536,149809,10728,79267,70542,100617
12/1/20,160567,149830,10736,79481,70350,101213
1/1/21,160161,150031,10130,79714,70316,101618
2/1/21,160211,150239,9972,79666,70572,100910
3/1/21,160558,150848,9710,79681,71167,100606
4/1/21,160988,151176,9812,80017,71159,100723
5/1/21,160935,151620,9316,80062,71557,100603
6/1/21,161086,151602,9484,80176,71426,99172
7/1/21,161347,152645,8702,80712,71934,98653
8/1/21,161537,153154,8384,81100,72054,99823
9/1/21,161354,153680,7674,81501,72179,100373